bldg_id,street_address,zip_code,last_reg,rc_count,docket_no,case_type,case_status,filing_date,closing_date,close_code,staff_id,mci_item,claim_cost,allow_cost,wk_beg_dt
406400,10-25 HARTMAN LN FAR ROCKAWAY NY,11691,2020,0,DQ110040OM,OM,CLOSED,5/22/15,1/13/16,GP,ROM-00002-16,BOILER/BURNER,253500,243150,11/28/12
406400,10-25 HARTMAN LN FAR ROCKAWAY NY,11691,2020,0,DQ110040OM,OM,CLOSED,5/22/15,1/13/16,GP,ROM-00002-16,ASBESTOS REMOVAL,48050,48050,11/28/12
414039,31-41 HEALY AVE FAR ROCKAWAY NY,11691,2020,0,ES110004OM,OM,CLOSED,7/1/16,1/9/17,GP,ROM-00007-17,BOILER/BURNER,324000,309500,5/20/14
419786,170-40 HENLEY RD JAMAICA NY,11432,2020,0,YD110082X,X,CLOSED,4/14/10,1/6/11,CW,RX-00001-12,N/A,N/A,N/A,N/A
415624,164-20 HIGHLAND AVE JAMAICA NY,11432,2020,0,DO110015X,X,CLOSED,3/3/15,4/23/15,CW,RX-00003-15,N/A,N/A,N/A,N/A
416243,172-70 HIGHLAND AVE JAMAICA NY,11432,2020,0,YD110084X,X,CLOSED,4/14/10,5/13/11,GR,RXX-000104-20,N/A,N/A,N/A,N/A
401050,172-90 HIGHLAND AVE JAMAICA NY,11432,2020,2,AT130018OM,OM,CLOSED,8/9/12,6/20/13,GP,ROM-00102-13,ROOF SKYLIGHTS,240350,229100,10/13/10
401050,172-90 HIGHLAND AVE JAMAICA NY,11432,2020,2,AT130018OM,OM,CLOSED,8/9/12,6/20/13,GP,ROM-00102-13,ASBESTOS/MAIN ROOF,64000,64000,11/11/10
401050,172-90 HIGHLAND AVE JAMAICA NY,11432,2020,2,AT130018OM,OM,CLOSED,8/9/12,6/20/13,GP,ROM-00102-13,AIR MONITORING ROOF,10185,8700,11/9/10
401050,172-90 HIGHLAND AVE JAMAICA NY,11432,2020,2,AT130018OM,OM,CLOSED,8/9/12,6/20/13,GP,ROM-00102-13,ASBESTOS BACK ROOFS,30000,30000,7/2/11
